iter	Passed	Remaining
0	2	271
1	5	256
2	7	243
3	9	226
4	11	223
5	14	219
6	16	223
7	19	228
8	22	224
9	24	218
10	26	214
11	29	213
12	31	212
13	34	211
14	36	207
15	38	203
16	40	199
17	42	195
18	45	194
19	48	193
20	50	190
21	52	187
22	55	184
23	57	180
24	59	177
25	61	174
26	63	171
27	65	168
28	67	166
29	70	163
30	72	160
31	74	157
32	76	155
33	79	153
34	81	150
35	83	148
36	85	145
37	88	143
38	90	141
39	92	139
40	95	137
41	96	133
42	98	130
43	101	128
44	103	126
45	106	124
46	108	122
47	111	120
48	114	119
49	116	116
50	118	114
51	120	111
52	122	109
53	125	106
54	126	103
55	128	100
56	130	98
57	131	95
58	133	92
59	135	90
60	137	87
61	139	85
62	141	83
63	143	80
64	145	78
65	146	75
66	148	73
67	150	70
68	152	68
69	154	66
70	156	63
71	157	61
72	159	59
73	161	56
74	162	54
75	164	51
76	166	49
77	168	47
78	170	45
79	172	43
80	174	40
81	176	38
82	177	36
83	179	34
84	180	31
85	183	29
86	185	27
87	187	25
88	189	23
89	192	21
90	194	19
91	196	17
92	198	14
93	201	12
94	203	10
95	205	8
96	206	6
97	208	4
98	210	2
99	212	0
