iter	Passed	Remaining
0	142	142474
1	143	71635
2	144	47946
3	144	36080
4	145	28971
5	146	24222
6	146	20826
7	147	18277
8	148	16298
9	148	14709
10	149	13413
11	150	12351
12	150	11447
13	151	10669
14	152	10003
15	152	9407
16	153	8887
17	154	8421
18	154	8000
19	155	7630
20	156	7293
21	157	6984
22	157	6704
23	158	6447
24	159	6210
25	159	5988
26	160	5785
27	161	5593
28	161	5420
29	162	5261
30	163	5108
31	163	4960
32	164	4828
33	165	4708
34	166	4591
35	167	4480
36	168	4375
37	168	4274
38	169	4181
39	170	4089
40	171	4001
41	171	3917
42	172	3834
43	172	3756
44	173	3684
45	174	3615
46	174	3545
47	175	3479
48	176	3419
49	177	3373
50	178	3321
51	179	3268
52	179	3214
53	180	3168
54	181	3119
55	182	3078
56	183	3038
57	184	2995
58	185	2953
59	185	2911
60	186	2870
61	187	2830
62	187	2791
63	188	2754
64	188	2717
65	189	2683
66	190	2650
67	191	2618
68	191	2585
69	192	2553
70	192	2524
71	193	2497
72	194	2471
73	195	2444
74	195	2417
75	196	2390
76	197	2366
77	198	2343
78	198	2316
79	199	2291
80	199	2266
81	200	2243
82	200	2216
83	201	2193
84	201	2170
85	202	2148
86	202	2127
87	203	2107
88	203	2087
89	204	2067
90	205	2048
91	205	2030
92	206	2012
93	206	1994
94	207	1977
95	208	1960
96	208	1944
97	209	1928
98	210	1913
99	211	1899
100	211	1885
101	212	1871
102	213	1857
103	213	1843
104	214	1829
105	215	1815
106	215	1800
107	216	1786
108	216	1773
109	217	1759
110	218	1746
111	218	1733
112	219	1720
113	219	1708
114	220	1695
115	220	1683
116	221	1670
117	221	1659
118	222	1647
119	223	1636
120	223	1626
121	224	1616
122	225	1606
123	226	1597
124	226	1587
125	227	1577
126	227	1566
127	228	1556
128	229	1546
129	229	1536
130	230	1526
131	230	1517
132	231	1508
133	232	1499
134	232	1490
135	233	1482
136	233	1473
137	234	1465
138	235	1456
139	235	1448
140	236	1440
141	236	1430
142	237	1422
143	237	1414
144	238	1406
145	239	1400
146	240	1394
147	240	1387
148	241	1380
149	242	1373
150	243	1366
151	243	1359
152	244	1352
153	244	1345
154	245	1338
155	246	1331
156	246	1324
157	247	1318
158	247	1311
159	248	1304
160	248	1297
161	249	1290
162	250	1284
163	250	1278
164	251	1271
165	251	1265
166	252	1259
167	253	1253
168	253	1247
169	254	1242
170	255	1237
171	256	1233
172	256	1228
173	257	1222
174	258	1217
175	258	1212
176	259	1207
177	260	1201
178	260	1196
179	261	1191
180	262	1186
181	262	1180
182	263	1175
183	263	1170
184	264	1165
185	265	1160
186	265	1154
187	266	1149
188	266	1145
189	267	1140
190	268	1135
191	268	1131
192	269	1126
193	270	1123
194	271	1119
195	271	1115
196	272	1111
197	273	1106
198	273	1101
199	274	1097
200	275	1093
201	275	1089
202	276	1084
203	276	1080
204	277	1076
205	278	1072
206	278	1067
207	279	1063
208	279	1059
209	280	1055
210	281	1051
211	281	1047
212	282	1043
213	283	1040
214	283	1036
215	284	1032
216	285	1029
217	286	1026
218	287	1023
219	287	1020
220	288	1016
221	289	1013
222	289	1009
223	290	1005
224	290	1001
225	291	998
226	292	995
227	292	991
228	293	988
229	294	984
230	294	981
231	295	978
232	296	975
233	296	971
234	297	968
235	298	965
236	298	961
237	299	958
238	300	955
239	300	952
240	301	950
241	302	947
242	303	945
243	303	941
244	304	938
245	305	935
246	305	932
247	306	929
248	307	926
249	307	922
250	308	919
251	308	916
252	309	913
253	310	910
254	310	907
255	311	905
256	311	901
257	312	899
258	313	896
259	313	893
260	314	890
261	315	887
262	315	884
